sensor1,2017/10/24 19:30:00,60 61 62
sensor2,2017/10/24 19:30:00,160 161 162
sensor3,2017/10/24 19:30:00,260 261 262
sensor4,2017/10/24 19:30:00,360 361 362
sensor1,2017/10/24 19:31:00,81 81 82
sensor2,2017/10/24 19:31:00,180 181 182
sensor3,2017/10/24 19:31:00,280 281 282
sensor4,2017/10/24 19:31:00,380 381 382
sensor1,2017/10/24 19:32:00,50 51 52
sensor2,2017/10/24 19:32:00,150 151 152
sensor3,2017/10/24 19:32:00,250 251 252
sensor4,2017/10/24 19:32:00,350 351 352
sensor1,2017/10/24 19:33:00,40 41 42
sensor2,2017/10/24 19:33:00,140 141 142
sensor3,2017/10/24 19:33:00,240 241 242
sensor4,2017/10/24 19:33:00,340 341 342
sensor1,2017/10/24 19:34:00,10 11 12
sensor2,2017/10/24 19:34:00,110 111 112
sensor3,2017/10/24 19:34:00,210 211 212
sensor4,2017/10/24 19:34:00,310 311 312
